web-scraper-order,web-scraper-start-url,infos,infos-href,Details,prix,adresse,N_chambre,Superficie,img_ling-src
"1737719730-1","https://www.expat-dakar.com/appartements-meubles?page=79","Appartements meublés à Thiès
                                2 chambre250 m²
                                                                                    Thiès,
                                                                                Thiès
                                    
                                        28. nov. '24, 11:32
                                    
                    35 000 F Cfa
                        
                        781159213
                    
                        781159213
                    
                        789273555","https://www.expat-dakar.com/annonce/appartements-meubles-a-thies-3613453","Appartements meublés à Thiès","35 000 F Cfa","Thiès","2","250 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/27f286dbd35f1610aa487e54d16c7d99/-/horizon-files-prod/ed/picture/q49prvz/09f22c907c07d961ab0f47297ff48c0744f6aae8.jpg"
"1737719741-2","https://www.expat-dakar.com/appartements-meubles?page=79","Appartement  meublés à louer à Front de terre
                                1 chambre30 m²
                                                                                    Zone de captage,
                                                                                Dakar
                                    
                                        22. nov. '24, 18:01
                                    
                    17 000 F Cfa
                        
                        776608043
                    
                        776796778","https://www.expat-dakar.com/annonce/appartement-meubles-a-louer-a-front-de-terre-3433740","Appartement  meublés à louer à Front de terre","17 000 F Cfa","Zone de captage","1","30 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b35116656a05e03b0fb1cc27b9228208/-/horizon-files-prod/ed/picture/qdmm46w/47831d3e73a3c17e8e15539fa2976e70d8f99c7f.jpg"
"1737719746-3","https://www.expat-dakar.com/appartements-meubles?page=79","Studio meublé à louer au Front de terre
                                1 chambre26 m²
                                                                                    Zone de captage,
                                                                                Dakar
                                    
                                        17. nov. '24, 01:07
                                    
                    15 000 F Cfa
                        
                        776608043
                    
                        776796778","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-au-front-de-terre-3502445","Studio meublé à louer au Front de terre","15 000 F Cfa","Zone de captage","1","26 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/66063ad93be0d889684915893ae37932/-/horizon-files-prod/ed/picture/q74kk98/2ad32e2aa6a0cf5d516421a9db63bbc889ab3a74.jpg"
"1737719754-4","https://www.expat-dakar.com/appartements-meubles?page=79","Joli 2 chambres salon cite keur gorgui vdn
                                2 chambre100 m²
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        lundi, 14:04
                                    
                    35 000 F Cfa
                        
                        779170639
                    
                        778893535","https://www.expat-dakar.com/annonce/joli-2-chambres-salon-cite-keur-gorgui-vdn-2726827","Joli 2 chambres salon cite keur gorgui vdn","35 000 F Cfa","Sacré-cœur","2","100 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f8921f4f45ea986461fb8afb61a5f8b/-/horizon-files-prod/ed/picture/qnz8g4v/f799a7c41156eb707d7bf97d0dfc8aeb58f9afc9.jpg"
"1737719760-5","https://www.expat-dakar.com/appartements-meubles?page=79","Studio meublé à Louer Maristes
                                3 chambre
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        6. janv., 14:44
                                    
                    450 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-maristes-5785638","Studio meublé à Louer Maristes","450 000 F Cfa","Hann maristes","3","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/41abca6b7dca4aa06aa0992279fefa92/-/horizon-files-prod/ed/picture/qpdw9neq/5d8d6a5a9c0bf365dd34ed4b7e43a7ccd17c418d.jpg"
"1737719765-6","https://www.expat-dakar.com/appartements-meubles?page=79","A La Une
    
                                    Appartement F4 meublé VUE MER à Ouakam
                                3 chambre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        24. déc. '24, 12:06
                                    
                    2 800 000 F Cfa
                        
                        786391616","https://www.expat-dakar.com/annonce/appartement-f4-meuble-vue-mer-a-ouakam-6214607","Appartement F4 meublé VUE MER à Ouakam","2 800 000 F Cfa","Plateau","3","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a10c0cde8573dc5e2bec06fe1d728178/-/horizon-files-prod/ed/picture/qq42vxd7/51bbb85371327e66dc44482c1f0ed68fb8e3fab0.jpg"
"1737719773-7","https://www.expat-dakar.com/appartements-meubles?page=78","Chic et choc studio équipé
                                1 chambre47 m²
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        20. nov. '24, 01:34
                                    
                    17 000 F Cfa
                        
                        762432306
                    
                        762432306","https://www.expat-dakar.com/annonce/chic-et-choc-studio-equipe-5892449","Chic et choc studio équipé","17 000 F Cfa","Sicap foire","1","47 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f2ae975ea6816a731137300c3f046ef/-/horizon-files-prod/ed/picture/qngxxj2k/d5927e25873589305fe905727e3c4c235ab05309.jpg"
"1737719778-8","https://www.expat-dakar.com/appartements-meubles?page=78","Studio à la cité keur gorgui
                                1 chambre
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        30. sept. '24, 22:36
                                    
                    40 000 F Cfa
                        
                        776763097","https://www.expat-dakar.com/annonce/studio-a-la-cite-keur-gorgui-5437676","Studio à la cité keur gorgui","40 000 F Cfa","Cité keur gorgui","1","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce9776c4d2ca1c21a311b5219e74a6f7/-/horizon-files-prod/ed/picture/qrzz8mpq/1a35f873df9ed76e464d075d7080fc3b1f7cc210.jpg"
"1737719783-9","https://www.expat-dakar.com/appartements-meubles?page=78","Studio  climatisé, meublé
                                3 chambre90 m²
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        28. oct. '24, 12:40
                                    
                    25 000 F Cfa
                        
                        773933792","https://www.expat-dakar.com/annonce/studio-climatise-meuble-5835494","Studio  climatisé, meublé","25 000 F Cfa","Hann maristes","3","90 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c7e0c68aaea0dd16d1cacbda46ed2c5c/-/horizon-files-prod/ed/picture/qwezdm76/3f1163b87d65fa04287a0db1c6c1e949f18c65f0.jpg"
"1737719789-10","https://www.expat-dakar.com/appartements-meubles?page=78","Appartement meublé
                                2 chambre94 m²
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        30. sept. '24, 22:35
                                    
                    50 000 F Cfa
                        
                        776763097","https://www.expat-dakar.com/annonce/appartement-meuble-5450016","Appartement meublé","50 000 F Cfa","Cité keur gorgui","2","94 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ccb59d3bd88240aadec5bab81f95732d/-/horizon-files-prod/ed/picture/qpddgvjp/81f1db24907805d23c38e701886b5900361cc070.jpg"
"1737719795-11","https://www.expat-dakar.com/appartements-meubles?page=78","APPARTEMENT F3 MEUBLÉ A LOUER
                                2 chambre
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        30. nov. '24, 20:36
                                    
                    55 000 F Cfa
                        
                        785477758
                    
                        785477758
                    
                        775548991","https://www.expat-dakar.com/annonce/appartement-f3-meuble-a-louer-5946334","APPARTEMENT F3 MEUBLÉ A LOUER","55 000 F Cfa","Point-e","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/be87280a9993da9e62d1793c7def93fb/-eyJvciI6MTgwfQ%3D%3D/horizon-files-prod/ed/picture/qm5pjnez/b8fc3a854768c83627b17199935d1952417afee4.jpg"
"1737719803-12","https://www.expat-dakar.com/appartements-meubles?page=78","STUDIO MEUBLE GRAND STANDING A LOUER
                                1 chambre
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        10. déc. '24, 15:15
                                    
                    40 000 F Cfa
                        
                        785477758
                    
                        785477758
                    
                        775548991","https://www.expat-dakar.com/annonce/studio-meuble-grand-standing-a-louer-5895070","STUDIO MEUBLE GRAND STANDING A LOUER","40 000 F Cfa","Point-e","1","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b99df4e248735da9dcb1b1a7512a67f5/-/horizon-files-prod/ed/picture/q9m992ev/99d8eda4b15de034d9f2d48c9216580248821d9f.jpg"
