Details,Prix,N_chambre,Adresse,Superficie,Image_link-src
Appartement Meublé à Hann Mariste,25000,1,Hann maristes,80,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1a0b8f5a8ca2bd57533838f109460bd2/-/horizon-files-prod/ed/picture/qm5mn4pr/a97afa66117bb0eb548751bb1727dbb5aaedafb2.jpg
Immeuble à louer aux Almadies,16200000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/883afc8e4436bf443647f23dab1f8c14/-/horizon-files-prod/ed/picture/q9mjr4wv/2b08795d9efcd3220ffa80f547dc638eadfa713a.jpg
Charmant Appartement F4 Meublé à louer aux mamelles,1200000,3,Mamelles,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9441843c93cd9c8b3a5e72b5dd03547c/-/horizon-files-prod/ed/picture/qm5gm5mw/5c7645dba019820fce01cabc5e811cc785f4d76a.jpg
Duplex F4 meublé à louer sur la corniche des almadies,2600000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a7b5c946091b8a33eec063f47064838d/-/horizon-files-prod/ed/picture/qngpv9pr/06725224cb95cb880b07184fab5c33c70ba1e5d7.jpg
Chambre meublée aux Maristes,12000,3,Hann maristes,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/49b380c9223c17bc4b447530c9a6b539/-/horizon-files-prod/ed/picture/qz6q70k/abb1e0a20a0ec3c36053b30bd6b13d5d66adf89e.jpg
Lumineux et bel appartement F4 à vendre sur Mermoz,106000000,3,Mermoz,116,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a77caf595df2305d816857f63712657e/-/horizon-files-prod/ed/picture/qwep94wp/b1eb15cef6d7ac7221df45ba73c67c43fd79c111.jpg
APPARTEMENT MEUBLE,70000,2,Mamelles,120,https://i.roamcdn.net/hz/ed/listing-thumb-543w/90b054f49700abe6e737ef126c8ba5b4/-/horizon-files-prod/ed/picture/qrz8x69q/8744f8f5cd722d5e3de335296c4be9e687bcb3b8.jpg
Appartement neuf a louer aux Almadies 2,130000,3,Almadies 2,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/22591d9a1a1d942170fd9928e1de0a03/-/horizon-files-prod/ed/picture/q44ngrk4/53017d2db98d8fe21055be5339a8c962a36ea617.jpg
Terrain à vendre à zac mbao cité enda,18000000,3,Zac Mbao,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1234e207e45631589f8b70081723e519/-/horizon-files-prod/ed/picture/qde7md7m/8f55f75b2800caf67d64ac6c608f6d9690f333b2.jpg
Studio neuf a louer aux Almadies 2,90000,3,Almadies 2,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b02b460e983a6c37203ddf558e3a4477/-/horizon-files-prod/ed/picture/q2j0x8mg/89c9fbc903c6a65a6581d71696abd0bfbe56eb3c.jpg
Résidence Zeina des chambres climatisées en location,20000,3,Hann maristes,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c64ffe409c07cc7890060ac11ae3187/-/horizon-files-prod/ed/picture/q56dzrkp/13d81c39f400a7c4dc0460e177d9da659e0bcfc7.jpg
Appartement de grand standing aux mamelles,750000,3,Mamelles,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c0f312b5b8a6e96be59d15467d02d50b/-/horizon-files-prod/ed/picture/qm5g7gwq/90583bee8ca7e2243398b9eea39b160594db5122.jpg
Appartements neufs à louer à Diass,150000,2,Diass,80,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c424e2b9ea613518a60d8e161b407cf3/-/horizon-files-prod/ed/picture/qj44q05r/52d131550a5293251f8df31fac7977e93c147254.jpg
De bels apparts à louer aux Almadies,350000,3,VDN,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5dfd22c574dc224c7cdcd1794b249781/-/horizon-files-prod/ed/picture/qg0rg58/374848822169bc1a60272edf6f9307b795e788b6.jpg
UN TRÈS BEAU F4 AUX ALMADIES,1500000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/129b11df903738643be8174b648235ee/-/horizon-files-prod/ed/picture/qv440n88/65cc84fdc26ebe293ccbb661ab7d2d158fc0aa83.jpg
F4 à Louer a Hann MARINAS,450000,3,Hann marinas,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b224d25f20a4c5e93742425e304d5312/-/horizon-files-prod/ed/picture/qen5v74x/c1911e87eeb10658246d19019d9242946fdbb6ab.jpg
Magasin a louer aux Mamelles,150000,1,Mamelles,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/30d4d0a09830ef563e1b73c8736c6517/-/horizon-files-prod/ed/picture/qzvvq776/d6c22d037af0099c8881bed123f224ddf0b4a4a2.jpg
F2 MEUBLE A LOUER AUX MAMELLES,450000,1,Mamelles,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/98033d965a1a32c55cbb748a8e7e5434/-/horizon-files-prod/ed/picture/q0ggxm2k/5cbe6eb8849b19aa246b810afb3397419efeea15.jpg
Bel et Spacieux Appartement F5 Fann Résidence,3250000,4,Fann,250,https://i.roamcdn.net/hz/ed/listing-thumb-543w/615dbe928a88531aaa8e25b6b901c8a1/-/horizon-files-prod/ed/picture/qm5rr9x9/0a18aacea8d2b82973067982c66396b4c8bd857b.jpg
Des apts de 04 ch salon à louer à fann residence,3500000,4,Fann,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3d7cc08b5e3ebb5048bd2c1cfd4bee0a/-/horizon-files-prod/ed/picture/qrdw7nm/ec5deb0e4fb298e83477d378a2142394443b0761.jpg
Très beau studio F2,900000,1,Ngor,60,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d56c0384c52d9cae091e1ec7cdd8b966/-/horizon-files-prod/ed/picture/qm5pg9qg/8e7f9dd586c8588bb02602a6b31a396a1cb20d94.jpg
Apparemment almadies 4 chambre,2500000,4,Almadies,280,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ffd64906903fa2e25e38accb2bf0e127/-/horizon-files-prod/ed/picture/qq4d8nkw/ca10c981b1907e951236157c29cab0ef20edd562.jpg
Appartement à louer aux almadies,750000,3,Almadies,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc12a1a920045dba380822eb4d69af9d/-/horizon-files-prod/ed/picture/qwezq276/5308683192a108e5a02a4647ecd12dc9a2247282.jpg
Penthouss a loué corniche fann Residences,3000000,3,Fann,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/427bd3d4a8b94cc69654d736567ece52/-/horizon-files-prod/ed/picture/q2jqzv6k/a73b90334c47c3d3922e49899d25be11ef5ad579.jpg
Duplex vide 4 chambres à louer au point E,2500000,4,Point-e,280,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4b5a37f0e0229da5b7b7b20c21d529a5/-/horizon-files-prod/ed/picture/qrzv7n45/e87e582d3adfe919384a4a90681877fc72bb09db.jpg
BEL APPARTEMENT F4 AU POINT E,650000,3,Point-e,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ffb0dcb210fd4c2239aa9bdaaa7aef2d/-/horizon-files-prod/ed/picture/qdek000g/9a66a3cb6864519c1da984c825e7700166b816da.jpg
Corniche fan résidence,2500000,3,Fann,3,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c3ba614ff1ce33dffc48b04b7012193/-/horizon-files-prod/ed/picture/qvn027w/23fe3c35688726bf20488d24cb5da5ca3622fa71.jpg
Apparemment meublé aux Poin E,2500000,3,Point-e,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a4710f867c9ff5db4db9cc9a2082a8e/-/horizon-files-prod/ed/picture/qxj6mvgq/5fb480f540b3f7cc0b0dd0fd2fc0426890674fb6.jpg
Apartement corniche fan résidence,2000000,3,Fann,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/27496b8c626611175c38f426497b6e39/-/horizon-files-prod/ed/picture/qngxqw7v/d0b54bbcafbd6d228c8b062a402c99cdc1407583.jpg
Appartement 3ch à louer au plateau,1050000,3,Plateau,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ba3b6181c0b7de61c64f0e8f451fafae/-/horizon-files-prod/ed/picture/qwe20j4d/56b5a3dc2b6103d1ba77be21dc4b20d53aa1886c.jpg
APPARTEMENT F4 À N'GOR VIRAGE,800000,3,Yoff,250,https://i.roamcdn.net/hz/ed/listing-thumb-543w/03be399fa4cbf15f4d5c9a4ea1231870/-/horizon-files-prod/ed/picture/q785dr9q/e8ab73798ba3382124c64766f12efc0f854e1c87.jpg
Magnifiques appartements sur la corniche vue mer,3500000,5,Mamelles,378,https://i.roamcdn.net/hz/ed/listing-thumb-543w/075eb0d143fde86358d636d0b36a00e1/-/horizon-files-prod/ed/picture/qkrgzmzz/d23838cb3545fc16947551bb19963f00a22337c9.jpg
Appartement à louer à Mermoz,900000,1,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6f5fe00b1c429f973056a085a038fee9/-/horizon-files-prod/ed/picture/q0gwemje/59ba902ec9be51fa471b899da2e54e25b3ac266d.jpg
Corniche fan hock apparemment à louer 4 chambres,1800000,4,Fann Hock,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6605bbbbd77bbf42a155c3252c830a45/-/horizon-files-prod/ed/picture/q0gwqprx/1857ecd12c88e5bf6aed586d2811286692bfa4f4.jpg
Apparemment 4 chambres louer aux cœurs de fan résidence,3500000,4,Fann,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7dde10e7faa2f7e3e6fcc2136ae88b56/-/horizon-files-prod/ed/picture/qrzvxkeg/b2b83fc382f2357d78ad00d984a0cc02a0cb05d2.jpg
Penthous à louer aux Poin e,3000000,4,Point-e,280,https://i.roamcdn.net/hz/ed/listing-thumb-543w/30e5ddfccfa743001436e77f8308ff8a/-/horizon-files-prod/ed/picture/q9m9pxxj/8d484eab5b5f4f8c878728ae4980d7fbf17fdfe7.jpg
Superbe F4 au Point E,1200000,3,Point-e,180,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf69f3fbc0ca477c582c6e93c6769d28/-/horizon-files-prod/ed/picture/qpd6254r/9fa3e83bc4b96a5488a3b1550265a80f1e363a7c.jpg
Appartement à louer à fan résidence sur la corniche,3000000,4,Fann,1000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8222a2da5190b2ff237a5f825d078416/-/horizon-files-prod/ed/picture/qrzvdne4/8e8f2b23a38a841574cd64782192ca103bf90a51.jpg
