Details,Prix,Adresse,Superficie,image_link-src
Terrains à vendre à lac rose,15000000,Lac rose,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/196696ddf3156f8efdfc728c599af26f/-/horizon-files-prod/ed/picture/q78524pz/dc6de9c05ffbaec4a1180f60d3e145735d6eb29f.png
terrain à vendre YENNE toubab dialaw,3000000,Yene,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c625a7de06c6a3bc21201a137f57dd4/-/horizon-files-prod/ed/picture/q6xke9vn/4239daf58540174d98f143737fcef4fd774c169c.jpg
"Terrain à la cité police,  SOCABEG Tivaouane Peulh",13500000,Tivaouane peulh,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/776280cf43da05d1040466b7eb1a9b70/-/horizon-files-prod/ed/picture/q6xk99ed/5cdc0520e4dda50457447b8eacb95d0651dbd29b.png
Terrain à vendre au lac rose à un prix imbattable,950000,Lac Rose,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/76797f5bdbe9679312cfb801fae0b372/-/horizon-files-prod/ed/picture/qngxrk20/dec78b6efb4bcda2721a19a3ffaaca39e3c5ccd8.jpg
Terrain nu commercial à ouakam,180000000,Ouakam,327,https://i.roamcdn.net/hz/ed/listing-thumb-543w/af5740708e4e26fc00a422b3583daa20/-/horizon-files-prod/ed/picture/qgq969mm/577f05b79b874b418f021be99322616f39a26cf6.jpg
Terrain à Nguerigne,42000000,Nguering,1200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c6ea9e92b98f0b795761c0bf03abc1ef/-/horizon-files-prod/ed/picture/qzvdgk66/a30a4922cd8d8261645428bf59bea924dc66e571.jpg
Terrain 1 hectare a sebiponty ndoyene,50000000,Sebikotane,10000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/266c8c2b1eb626f166e68a2b640131ed/-/horizon-files-prod/ed/picture/q6xk0j78/4250a22cbee33ab9f1d090477f132fe332df1b69.jpg
Terrain angle à vendre aux ALMADIES,1500000,Almadies,500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/23664616cdbe68090009af9b2ed6fca6/-/horizon-files-prod/ed/picture/q785q9gg/0afbf7a9c75a3d733fd6fd99882e1307ee4703c5.jpg
Terrains en résidence privée à Nguerigne,44000000,Nguering,790,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3d964eb48b36da31e6516c6a720ae6b6/-/horizon-files-prod/ed/picture/qm5g55gr/d700a17888839a42a438cb20b2a01017fc6b006c.jpg
TERRAINS A VENDRE,90000000,Rufisque,13739,https://i.roamcdn.net/hz/ed/listing-thumb-543w/709b3aea1d9bfd5a3d6a3d5e998ccca8/-/horizon-files-prod/ed/picture/qq44e5gv/6d7bcd2afb3bf11c8f53a2228d5eef5673ae62a4.jpg
